ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,profile_id
-0.5910972,-1.0935984,0.3002822,0.9600886,-0.14024842,-0.25933188,1.0291641,-0.24571966,-1.8373932,4
0.2971534,-1.0625792,0.30995473,-0.7119869,-0.95189154,-0.25666317,1.0291458,-0.24572743,-1.2551451,4
-0.7713486,-1.0396924,0.29775628,0.9528521,-0.14024703,-0.25924414,1.0291241,-0.24571978,-1.3435935,4
0.37757742,-1.0734284,0.3156149,-0.7088157,-0.9518901,-0.2560802,1.029159,-0.24571104,-1.9896467,4
-0.9284386,-1.0947725,0.18946643,1.6726338,2.024119,-0.2663629,-0.86639345,-0.2565612,-2.3592672,4
-0.7684036,-1.0562737,0.29566166,0.94082236,-0.14024828,-0.2594253,1.0291618,-0.2457099,-0.7789867,4
-0.79964113,-1.0696261,0.29780903,0.9547583,-0.14024644,-0.25918368,1.02917,-0.2457157,-1.4712336,4
0.57104415,-1.0661178,0.3126147,-0.7118954,-0.95189023,-0.25640342,1.0291746,-0.24571526,-1.6322426,4
-0.39899254,-1.0469483,-1.2197142,0.5283562,2.0241175,0.28626958,-1.3800374,0.23298436,0.27026737,4
0.34837547,-1.0821549,0.31485015,-0.7115306,-0.95188504,-0.25619945,1.0291369,-0.24571411,-1.718969,4
-0.79299736,-1.0803919,0.2990133,0.9577802,-0.14024597,-0.25920925,1.029148,-0.24572055,-1.6720549,4
-0.58865905,-1.0749229,0.29478413,0.9359281,-0.1402459,-0.25941104,1.0291722,-0.2457229,-0.51078004,4
-0.70086265,-1.0699378,0.180736,1.6843033,2.0241163,-0.26261908,-0.76280946,-0.25501168,-0.34978896,4
-0.30759057,-1.0772878,-0.95988715,0.6465446,-0.14024544,1.0205244,0.3862105,1.1367608,-1.3103304,4
-0.35645384,-1.0911744,0.18081577,1.685092,2.0241177,-0.264488,-0.7531441,-0.25451037,-0.1498296,4
0.18387482,-1.0644245,-1.4930364,-0.07009727,-0.14024834,1.9623924,-0.9244846,1.8928189,-0.8702328,4
0.080041476,-1.0924293,-0.96449167,0.6409467,-0.14025205,1.0186526,0.3862183,1.1367674,-1.0006837,4
-0.7836645,-1.0612476,0.29126635,0.90439016,-0.14024676,-0.2612741,1.029119,-0.24571224,0.4277253,4
0.11363881,-1.0798019,-1.0259386,0.9248896,1.2124786,0.3579145,-0.83683187,0.32261866,-0.12352567,4
0.099849366,-1.0799434,-1.026967,0.92518324,1.212478,0.3577592,-0.8388584,0.3228425,-0.13593447,4
-0.65947026,-1.082224,0.18148474,1.686899,2.0241196,-0.26316506,-0.75044173,-0.25450352,-0.099139296,4
-0.62944824,-1.0666621,0.29549643,0.94088423,-0.14024869,-0.25926793,1.0291704,-0.24570706,-0.72800046,4
-0.01853024,-1.0745572,0.3142125,-0.71171415,-0.95188874,-0.25575486,1.0291522,-0.24571057,-0.79135346,4
-0.23116346,-1.0850853,-1.5564543,-0.4790587,2.0241215,0.42995313,-1.8221853,0.34493592,2.0187945,4
0.1620484,-1.0745143,0.31180117,-0.71131617,-0.95187455,-0.25579056,1.0291171,-0.24570943,-0.42151776,4
-0.64760095,-1.0523548,0.18022539,1.6868335,2.024116,-0.2617701,-0.7562994,-0.25455368,-0.2619011,4
0.35059977,-1.0928227,0.31342804,-0.7124897,-0.95188504,-0.25590757,1.029138,-0.24571778,-0.688382,4
-0.64818114,-1.082296,0.3008044,0.9608891,-0.14024834,-0.25914302,1.0291533,-0.24570295,-1.8422824,4
0.275602,-1.0800482,0.31531504,-0.7093496,-0.9518841,-0.2560109,1.0291407,-0.24571855,-1.9488723,4
0.38969162,-1.0648309,0.3145868,-0.7131265,-0.95187783,-0.25649303,1.029172,-0.24572733,-1.5080292,4
-0.07396905,-1.0905478,-1.027372,0.93173695,1.2124821,0.35770673,-0.837419,0.32297286,-0.15679158,4
-0.4663488,-1.1021819,0.29066905,0.88428116,-0.1402463,-0.25999543,1.0291232,-0.24571495,1.4557331,4
-0.04941646,-1.0924747,-1.4974314,-0.08636299,-0.14024505,1.9552661,-0.9360957,1.889918,-0.45144898,4
0.30829898,-1.0762514,0.31177878,-0.71279323,-0.9518932,-0.25594658,1.0291595,-0.24570592,-0.31870824,4
0.25827938,-1.066262,-1.4952021,-0.07693981,-0.14024802,1.9600214,-0.93085647,1.8913425,-0.7098993,4
-0.65126866,-1.046014,-1.2241465,0.5160161,2.0241227,0.28746262,-1.376303,0.2336297,0.44356245,4
-0.8093373,-1.0800083,0.2995974,0.9589914,-0.1402465,-0.25920126,1.0291355,-0.24571468,-1.7784501,4
-0.81493217,-1.0469698,0.29546183,0.94281733,-0.14024644,-0.25927827,1.0291481,-0.2457234,-0.86931705,4
0.24066266,-1.02877,-1.0264578,0.92532414,1.2124784,0.35739565,-0.83491784,0.32288393,-0.08329731,4
-0.08844907,-1.0629148,-0.9641081,0.64120823,-0.14024954,1.0189455,0.38620222,1.1367697,-1.038678,4
-0.75683546,-1.086471,-1.2412529,0.4934985,2.024123,0.2882061,-1.3656845,0.23586433,0.8564601,4
-0.14102219,-1.0687251,-0.9631494,0.64251614,-0.14024617,1.0193172,0.38613853,1.1367575,-1.1004734,4
-0.7829077,-1.0655603,0.29944798,0.95801073,-0.14024788,-0.2591705,1.0291666,-0.24571934,-1.744823,4
-0.7638546,-1.0846488,0.30045235,0.9595374,-0.14024603,-0.25921836,1.0291216,-0.24572346,-1.8110318,4
0.11241826,-1.0578233,-1.0283275,0.93070257,1.2124823,0.35820752,-0.8378547,0.32305303,-0.15415525,4
-0.35926634,-1.0526795,-1.5543075,-0.47459233,2.024123,0.42771855,-1.8165603,0.3433162,2.0538673,4
-0.78729105,-1.0809873,0.29956505,0.95826226,-0.14024709,-0.2592955,1.0291326,-0.24572234,-1.7291042,4
0.531345,-1.0650474,0.31327307,-0.7098422,-0.95189,-0.25561342,1.0291973,-0.24570985,-0.8416988,4
-0.56800103,-1.0830561,0.29425383,0.92793953,-0.14024524,-0.25971478,1.029112,-0.24570633,-0.21536684,4
-0.27335584,-1.0853903,-0.9590289,0.6469581,-0.14024682,1.0206642,0.38614953,1.1367637,-1.3190997,4
0.3798278,-1.0627269,0.31529555,-0.70973265,-0.9518862,-0.2560884,1.0291508,-0.24571365,-2.0073092,4
0.10320288,-1.0783414,0.3097559,-0.7070376,-0.9518854,-0.25526783,1.029147,-0.24570966,-1.0179613,4
-0.82942325,-1.0877235,0.29865244,0.9570234,-0.14024438,-0.2590456,1.0291225,-0.245711,-1.5126636,4
0.17127582,-1.0632298,0.3151978,-0.71134025,-0.95188534,-0.2563458,1.0291435,-0.2457109,-1.783188,4
-0.17988919,-1.0392009,-1.2473145,0.48361364,2.0241187,0.28821483,-1.3554846,0.23552682,1.1183554,4
0.5288196,-1.0708461,0.3146024,-0.71013117,-0.9518878,-0.25625673,1.029133,-0.24572682,-1.7513053,4
0.22421531,-1.0749799,0.30975407,-0.70927703,-0.95189035,-0.2557531,1.0291386,-0.24572685,-1.1565135,4
-0.64947295,-1.0806311,0.29682022,0.94725984,-0.1402467,-0.2596677,1.0291314,-0.24571748,-1.1681613,4
-0.66743696,-1.0573125,-1.201521,0.5481716,2.0241191,0.28371856,-1.3966761,0.22987151,-0.059359927,4
-0.39885902,-1.0638858,0.1805571,1.6840715,2.0241177,-0.263293,-0.7511844,-0.25471815,-0.0905997,4
-0.14253885,-1.0863879,-0.96293026,0.6432831,-0.14025007,1.0196018,0.3861434,1.1367621,-1.1251525,4
-0.84652805,-1.0938399,0.18104869,1.6839031,2.0241182,-0.2644135,-0.75397575,-0.2546055,-0.15232827,4
-0.36413148,-1.0728679,-0.9568018,0.6460296,-0.14024286,1.0211349,0.3862076,1.1367798,-1.4075651,4
0.4866975,-1.0830518,-1.0255688,0.9268261,1.212483,0.35858035,-0.83789665,0.32272863,-0.1349865,4
-0.60282093,-1.0795183,0.29429406,0.93636894,-0.14024723,-0.2592436,1.0291713,-0.24572602,-0.5247506,4
-0.84996283,-1.0724108,0.299053,0.9576343,-0.14024788,-0.25934404,1.0291574,-0.24573193,-1.6974139,4
-0.6058171,-1.0702922,0.30048913,0.9598512,-0.14024451,-0.25918615,1.0291497,-0.24571708,-1.8085514,4
0.41894373,-1.0659264,0.31429395,-0.71355283,-0.95188403,-0.25650746,1.0291401,-0.24572012,-1.4762328,4
-0.6234127,-1.0828176,0.298161,0.9536011,-0.14024861,-0.25921282,1.0291849,-0.24572387,-1.388536,4
-0.7814302,-1.0560803,0.29956612,0.957498,-0.14024611,-0.25929716,1.0291845,-0.24571833,-1.7615095,4
-0.8287286,-1.0635976,0.2980347,0.9549959,-0.14024775,-0.2592373,1.0291551,-0.24572228,-1.4792703,4
-0.002753386,-1.088421,0.3100212,-0.70741856,-0.9518864,-0.25542966,1.0291314,-0.24571875,-1.086401,4
0.36205852,-1.0714805,0.31537625,-0.71067715,-0.95187545,-0.2562388,1.0291308,-0.24572106,-1.7752442,4
-0.9319266,-1.0672901,0.29798025,0.95632416,-0.14024709,-0.2591529,1.0291241,-0.24571759,-1.4836738,4
-0.15299988,-1.0722628,-0.96196693,0.6433869,-0.14024875,1.0203897,0.38619933,1.136776,-1.1554904,4
-0.7039401,-1.0914538,0.17941135,1.6894644,2.0241187,-0.2629722,-0.75032896,-0.2539171,-0.12458078,4
-0.121590704,-1.0653876,-1.2228829,0.51553553,2.024118,0.2854821,-1.3757896,0.23288187,0.48436618,4
0.2765114,-1.0381597,-1.4959452,-0.08056309,-0.14024815,1.9570569,-0.9324073,1.8908947,-0.60064405,4
0.20009734,-1.0912848,-1.4981716,-0.08913736,-0.14024459,1.9540826,-0.93863076,1.8891629,-0.37420323,4
-0.4164085,-1.068164,0.18107575,1.683927,2.0241196,-0.26427433,-0.7588058,-0.25469106,-0.25781423,4
-0.6330607,-1.0770515,0.1797513,1.6870607,2.0241165,-0.26437834,-0.758684,-0.25423893,-0.30121368,4
0.049927134,-1.0544127,-1.0268959,0.9296578,1.212478,0.3581662,-0.8376761,0.32300553,-0.15558945,4
-0.8865102,-1.0453494,0.17904155,1.6870607,2.0241196,-0.26361698,-0.7560147,-0.25445005,-0.23950242,4
0.21468978,-1.0463072,-1.02723,0.92339504,1.212483,0.3572398,-0.8340911,0.32294962,-0.05366158,4
0.36403087,-1.0633045,0.31545898,-0.70954865,-0.9518764,-0.25608978,1.0291502,-0.245715,-2.0048447,4
-0.59723306,-1.0657736,0.29544672,0.9413386,-0.14024524,-0.25941914,1.0291151,-0.24571215,-0.79771584,4
0.40862122,-1.0668755,0.3154896,-0.71061885,-0.9518886,-0.25631592,1.0291585,-0.24571203,-1.9155787,4
0.101388104,-1.0623512,0.31005365,-0.7113146,-0.9518773,-0.25638518,1.0291268,-0.245713,-1.2352982,4
-0.1010842,-1.0385623,-1.4992837,-0.09382029,-0.1402459,1.9524602,-0.9406028,1.8885703,-0.24315733,4
-0.8645864,-1.0488827,0.17986257,1.6841741,2.0241244,-0.26440403,-0.757027,-0.25437313,-0.23101111,4
-0.7709923,-1.0571837,0.3005782,0.9593461,-0.14024788,-0.25931308,1.0291499,-0.24572228,-1.8282261,4
-0.5908452,-1.0833724,-0.95816606,0.6529325,-0.14024755,1.0233059,0.38614196,1.1367743,-1.5535821,4
-0.55370367,-1.0612354,0.1781074,1.6872692,2.0241199,-0.26293597,-0.7564537,-0.25432405,-0.24805138,4
0.169717,-1.0499434,-1.0258907,0.9320987,1.2124789,0.35781196,-0.8360302,0.3227599,-0.15972435,4
-0.5939869,-1.0941788,-1.2521404,0.48096475,2.024115,0.28782785,-1.353899,0.2364146,1.1960171,4
-0.94956744,-1.085007,0.30061406,0.96100956,-0.14024432,-0.25912374,1.0291208,-0.24572332,-1.808734,4
